orthographe;classe;freqfilms;nblettres
dinar;NOM;0.34;5
dinars;NOM;1.41;6
dinde;NOM;8.79;5
dindes;NOM;0.54;6
dindon;NOM;1.23;6
dindonne;VER;0;8
dindonneau;NOM;0.17;10
dindonneaux;NOM;0;11
dindonné;VER;0;8
dindons;NOM;0.5;7
dine;NOM;1.24;4
ding;ONO;3.54;4
dingo;ADJ;0.95;5
dingo;NOM;0.67;5
dingos;ADJ;0.03;6
dingos;NOM;0.28;6
dingue;ADJ;53.01;6
dingue;NOM;8.19;6
dingue;VER;0.33;6
dinguent;VER;0;8
dinguer;VER;0;7
dinguerie;NOM;0.05;9
dingueries;NOM;0;10
dingues;ADJ;5.47;7
dingues;NOM;3.84;7
dingué;VER;0;6
dinosaure;NOM;2.32;9
dinosaures;NOM;2.14;10
dioclétienne;ADJ;0;12
dioclétiennes;ADJ;0;13
diocèse;NOM;0.44;7
diocèses;NOM;0;8
diocésain;ADJ;0.1;9
diocésaines;ADJ;0;11
diode;NOM;0.07;5
diodon;NOM;0;6
dionysiaque;ADJ;0.16;11
dionysiaques;ADJ;0;12
dionysien;ADJ;0.01;9
dionée;NOM;0.03;6
dioptre;NOM;0;7
dioptries;NOM;0;9
diorama;NOM;0.11;7
dioramas;NOM;0.04;8
diorite;NOM;0.04;7
dioxine;NOM;0.12;7
dioxines;NOM;0.02;8
dioxyde;NOM;0.56;7
diphtongue;NOM;0;10
diphtongues;NOM;0.02;11
diphtérie;NOM;0.26;9
diphényle;NOM;0;9
diplodocus;NOM;0.01;10
diplomate;ADJ;1.18;9
diplomate;NOM;1.98;9
diplomates;ADJ;0.06;10
diplomates;NOM;1.77;10
diplomatie;NOM;1.8;10
diplomatique;ADJ;2.77;12
diplomatiquement;ADV;0.04;16
diplomatiques;ADJ;1.51;13
diplopie;NOM;0.03;8
diplôme;NOM;13.28;7
diplômer;VER;0.16;8
diplômes;NOM;3.99;8
diplômé;VER;2.44;7
diplômé;ADJ;0.71;7
diplômé;NOM;0.56;7
diplômée;VER;1.17;8
diplômée;ADJ;0.48;8
diplômée;NOM;0.21;8
diplômées;VER;0.01;9
diplômées;ADJ;0.07;9
diplômées;NOM;0.01;9
diplômés;VER;0.51;8
diplômés;ADJ;0.24;8
diplômés;NOM;1.03;8
dipneuste;NOM;0.05;9
dipneustes;NOM;0.02;10
dipsomane;ADJ;0.01;9
dipsomane;NOM;0.25;9
dipsomanes;NOM;0.01;10
dipsomanie;NOM;0.01;10
diptyque;NOM;0.01;8
diptères;ADJ;0.01;8
dipôle;NOM;0.01;6
dira;VER;36.47;4
dirai;VER;82.39;5
diraient;VER;3.02;8
dirais;VER;57.65;6
dirait;VER;190.63;6
diras;VER;22.52;5
dire;NOM;51.94;4
dire;VER;1564.52;4
direct;ADJ;14.29;6
direct;NOM;15.81;6
directe;ADJ;6.27;7
directement;ADV;26.73;11
directes;ADJ;0.49;8
directeur;ADJ;13.65;9
directeur;NOM;57.65;9
directeur-adjoint;ADJ;0.1;17
directeur-adjoint;NOM;0.14;17
directeurs;ADJ;0.81;10
directeurs;NOM;2.23;10
directif;ADJ;0.22;8
direction;NOM;43.25;9
directionnel;ADJ;0.09;12
directionnelle;ADJ;0.04;14
directionnelles;ADJ;0.02;15
directionnels;ADJ;0.42;13
directions;NOM;1.81;10
directive;ADJ;0.1;9
directive;NOM;0.4;9
directives;ADJ;0.02;10
directives;NOM;3.04;10
directo;ADV;0;7
directoire;NOM;0.17;10
directorat;NOM;0.01;10
directorial;ADJ;0.01;11
directoriale;ADJ;0;12
directoriaux;ADJ;0;12
directos;ADV;0.03;8
directrice;ADJ;0.99;10
directrice;NOM;4.55;10
directrices;ADJ;0.02;11
directrices;NOM;0.28;11
directs;ADJ;0.84;7
directs;NOM;0.54;7
dirent;VER;1.65;6
dires;NOM;1.94;5
direz;VER;13.72;5
dirham;NOM;0.14;6
dirhams;NOM;0.29;7
diriez;VER;10.69;6
dirige;VER;23.74;6
dirigea;VER;0.06;7
dirigeable;ADJ;0.05;10
dirigeable;NOM;0.41;10
dirigeables;ADJ;0.01;11
dirigeables;NOM;0.22;11
dirigeai;VER;0.12;8
dirigeaient;VER;0.62;11
dirigeais;VER;0.52;9
dirigeait;VER;3.31;9
dirigeant;ADJ;0.52;9
dirigeant;NOM;1.81;9
dirigeant;VER;1.43;9
dirigeante;ADJ;0.2;10
dirigeante;NOM;0.06;10
dirigeantes;ADJ;0.06;11
dirigeants;ADJ;0.11;10
dirigeants;NOM;4.3;10
dirigent;VER;4.11;8
dirigeons;VER;1.14;9
diriger;VER;13.94;7
dirigera;VER;1.17;8
dirigerai;VER;0.34;9
dirigeraient;VER;0.02;12
dirigerais;VER;0.1;10
dirigerait;VER;0.11;10
dirigeras;VER;0.23;9
dirigerez;VER;0.36;9
dirigerons;VER;0.06;10
dirigeront;VER;0.19;10
diriges;VER;1.31;7
dirigez;VER;3.88;7
dirigeâmes;VER;0.03;10
dirigeât;VER;0;8
dirigiez;VER;0.3;8
dirigions;VER;0.17;9
dirigèrent;VER;0.01;10
dirigé;VER;4.43;6
dirigé;ADJ;0.07;6
dirigée;VER;2.29;7
dirigée;ADJ;0.23;7
dirigées;VER;0.2;8
dirigées;ADJ;0.01;8
dirigés;VER;0.91;7
dirigés;ADJ;0.01;7
dirimant;ADJ;0;8
dirimants;ADJ;0;9
dirions;VER;0.08;7
dirlo;NOM;0.4;5
dirlos;NOM;0;6
dirons;VER;2.78;6
diront;VER;9.09;6
dis;VER;1025.78;3
disaient;VER;11.68;8
disais;VER;98.37;6
disait;VER;94;6
disant;VER;26.41;6
disant;ADJ;1.27;6
disants;ADJ;0.03;7
disc-jockey;NOM;0.16;11
disc-jockeys;NOM;0.03;12
discal;ADJ;0.02;6
discale;ADJ;0.11;7
discerna;VER;0;8
discernable;ADJ;0.01;11
discernables;ADJ;0;12
discernai;VER;0;9
discernaient;VER;0;12
discernais;VER;0;10
discernait;VER;0.01;10
discernant;VER;0;10
discerne;VER;0.33;8
discernement;NOM;0.9;12
discernent;VER;0.01;10
discerner;VER;0.69;9
discernerait;VER;0;12
discernes;VER;0;9
discernions;VER;0;11
discernâmes;VER;0;11
discernât;VER;0;9
discerné;VER;0.01;8
discernées;VER;0;10
disciple;NOM;1.98;8
disciple-roi;NOM;0;12
disciples;NOM;3.65;9
disciplina;VER;0;10
disciplinaient;VER;0;14
disciplinaire;ADJ;0.93;13
disciplinaires;ADJ;0.35;14
disciplinais;VER;0.01;12
disciplinait;VER;0;12
discipline;NOM;11.59;10
discipliner;VER;0.29;11
disciplinera;VER;0;12
disciplinerait;VER;0;14
disciplines;NOM;0.44;11
discipliné;VER;0.25;10
discipliné;ADJ;0.3;10
disciplinée;VER;0.14;11
disciplinée;ADJ;0.24;11
disciplinées;ADJ;0.01;12
disciplinés;VER;0.23;11
disciplinés;ADJ;0.51;11
disco;ADJ;1.76;5
disco;NOM;1.79;5
discobole;NOM;0.23;9
discoboles;NOM;0.01;10
discographie;NOM;0.01;12
discographiques;ADJ;0;15
discontinu;ADJ;0;10
discontinuaient;VER;0;15
discontinue;ADJ;0.04;11
discontinuer;VER;0.03;12
discontinues;ADJ;0;12
discontinuité;NOM;0.05;13
discontinus;ADJ;0;11
disconviens;VER;0;11
disconvint;VER;0;10
discordance;NOM;0.04;11
discordances;NOM;0.02;12
discordant;ADJ;0.08;10
discordant;VER;0;10
discordante;ADJ;0.02;11
discordantes;ADJ;0.01;12
discordants;ADJ;0.04;11
discorde;NOM;1.35;8
discordes;NOM;0;9
discordes;NOM;0.06;9
discos;ADJ;0.01;6
discos;NOM;0.02;6
discothèque;NOM;1.12;11
discothèques;NOM;0.2;12
discount;NOM;0.39;8
discouraient;VER;0;12
discourait;VER;0;10
discourant;VER;0.02;10
discoure;VER;0.01;8
discourent;VER;0.01;10
discoureur;NOM;0.01;10
discoureurs;NOM;0;11
discourir;VER;0.39;9
discours;VER;0.02;8
discours;NOM;42.75;8
discourt;VER;0.11;8
discourtois;ADJ;0.25;11
discourtoise;ADJ;0.03;12
discourtoises;ADJ;0;13
discouru;VER;0.1;8
discourut;VER;0;9
discret;ADJ;9.52;7
discrets;ADJ;2.96;8
discriminant;ADJ;0.01;12
discriminants;ADJ;0.01;13
discrimination;NOM;1.57;14
discriminations;NOM;0.03;15
discriminatoire;ADJ;0.15;15
discriminer;VER;0.17;11
discriminé;VER;0.01;10
discrète;ADJ;2.79;8
discrètement;ADV;5.82;12
discrètes;ADJ;0.34;9
discrédit;NOM;0.11;9
discréditait;VER;0.01;12
discréditant;VER;0.02;12
discrédite;VER;0.05;10
discréditer;VER;1.2;11
discréditerait;VER;0.04;14
discréditez;VER;0.05;11
discrédité;VER;0.14;10
discréditée;VER;0.04;11
discréditées;VER;0.03;12
discrédités;VER;0.04;11
discrétion;NOM;4.59;10
discrétionnaire;ADJ;0.09;15
discrétionnaires;ADJ;0.04;16
disculpait;VER;0;10
disculpant;VER;0.07;10
disculpation;NOM;0.04;12
disculpe;VER;0.19;8
disculpent;VER;0.01;10
disculper;VER;0.61;9
disculperait;VER;0.01;12
disculpez;VER;0.01;9
disculpé;VER;0.36;8
disculpés;VER;0.01;9
discursives;ADJ;0;11
discussion;NOM;19.54;10
discussions;NOM;4.05;11
discuta;VER;0.01;7
discutable;ADJ;0.59;10
discutables;ADJ;0.19;11
discutai;VER;0;8
discutaient;VER;0.2;11
discutaillaient;VER;0;15
discutaillait;VER;0.01;13
discutaille;VER;0.01;11
discutaillent;VER;0;13
discutailler;VER;0.46;12
discutailleries;NOM;0;15
discutailleur;NOM;0;13
discutailleuse;ADJ;0;14
discutais;VER;0.57;9
discutait;VER;2.09;9
discutant;VER;0.6;9
discute;VER;14.75;7
discutent;VER;2.02;9
discuter;VER;50.43;8
discutera;VER;2.92;9
discuterai;VER;1.08;10
discuteraient;VER;0.05;13
discuterais;VER;0.1;11
discuterait;VER;0.52;11
discuterez;VER;0.1;10
discuteriez;VER;0.02;11
discuterions;VER;0.01;12
discuterons;VER;1.66;11
discuteront;VER;0.04;11
discutes;VER;0.82;8
discutez;VER;2.73;8
discutiez;VER;0.23;9
discutions;VER;0.71;10
discutons;VER;3.44;9
discutâmes;VER;0;10
discutât;VER;0.1;8
discutèrent;VER;0.02;11
discuté;VER;10.85;7
discuté;ADJ;0.78;7
discutée;VER;0.2;8
discutée;ADJ;0.01;8
discutées;VER;0.02;9
discutées;ADJ;0;9
discutés;VER;0.12;8
dise;VER;53.46;4
disent;VER;88.46;6
disert;ADJ;0;6
diserte;ADJ;0.01;7
dises;VER;11.41;5
disette;NOM;0.06;7
disettes;NOM;0;8
diseur;NOM;0.26;6
diseurs;NOM;0.06;7
diseuse;NOM;0.14;7
diseuses;NOM;0.06;8
disfonctionnement;NOM;0.44;17
disgracia;VER;0;9
disgraciaient;VER;0;13
disgraciait;VER;0;11
disgracier;VER;0.01;10
disgraciera;VER;0;11
disgracieuse;ADJ;0.01;12
disgracieusement;ADV;0;16
disgracieuses;ADJ;0.04;13
disgracieux;ADJ;0.09;11
disgracié;VER;0.06;9
disgracié;ADJ;0.16;9
disgraciée;VER;0.01;10
disgraciée;ADJ;0.01;10
disgraciées;ADJ;0;11
disgraciés;VER;0.01;10
disgraciés;ADJ;0;10
disgrâce;NOM;1.76;8
disgrâces;NOM;0;9
disharmonie;NOM;0.01;11
disiez;VER;20.36;6
disions;VER;1.54;7
disjoignait;VER;0;11
disjoignant;VER;0;11
disjoignent;VER;0;11
disjoindre;VER;0;10
disjoint;VER;0;8
disjoint;ADJ;0.1;8
disjointe;VER;0;9
disjointe;ADJ;0.01;9
disjointes;VER;0;10
disjointes;ADJ;0;10
disjoints;VER;0.1;9
disjoints;ADJ;0.02;9
disjoncta;VER;0;9
disjonctais;VER;0.01;11
disjonctait;VER;0.02;11
disjoncte;VER;0.47;9
disjonctent;VER;0.02;11
disjoncter;VER;0.4;10
disjoncterais;VER;0.02;13
disjoncterait;VER;0.04;13
disjonctes;VER;0.57;10
disjoncteur;NOM;1.34;11
disjoncteurs;NOM;0.11;12
disjonctez;VER;0.03;10
disjonction;NOM;0;11
disjonctions;NOM;0;12
disjoncté;VER;1.65;9
disjonctée;VER;0.05;10
disjonctés;VER;0.02;10
diskette;NOM;0;8
dislocation;NOM;0.16;11
dislocations;NOM;0;12
disloqua;VER;0;8
disloquai;VER;0;9
disloquaient;VER;0;12
disloquait;VER;0;10
disloquant;VER;0;10
disloque;VER;0.12;8
disloquent;VER;0.01;10
disloquer;VER;0.18;9
disloquerai;VER;0.01;11
disloqueront;VER;0;12
disloquât;VER;0;9
disloquèrent;VER;0;12
disloqué;VER;0.05;8
disloqué;ADJ;0.07;8
disloquée;VER;0.05;9
disloquée;ADJ;0.02;9
disloquées;VER;0.01;10
disloquées;ADJ;0;10
disloqués;VER;0.11;9
disloqués;ADJ;0.03;9
disons;VER;45.13;6
disparais;VER;8.97;9
disparaissaient;VER;0.33;15
disparaissais;VER;0.29;13
disparaissait;VER;1.11;13
disparaissant;ADJ;0.01;13
disparaissant;VER;0.32;13
disparaissante;ADJ;0;14
disparaisse;VER;2.94;11
disparaissent;VER;6.65;13
disparaisses;VER;0.23;12
disparaissez;VER;4.32;12
disparaissiez;VER;0.17;13
disparaissions;VER;0.14;14
disparaissons;VER;0.23;13
disparate;ADJ;0.02;9
disparate;NOM;0.01;9
disparates;ADJ;0.25;10
disparates;NOM;0;10
disparaît;VER;10.02;9
disparaîtra;VER;3.04;11
disparaîtrai;VER;0.41;12
disparaîtraient;VER;0.34;15
disparaîtrais;VER;0.23;13
disparaîtrait;VER;0.73;13
disparaîtras;VER;0.22;12
disparaître;VER;27.16;11
disparaîtrez;VER;0.12;12
disparaîtrions;VER;0.01;14
disparaîtrons;VER;0.18;13
disparaîtront;VER;0.59;13
disparition;NOM;14.83;11
disparitions;NOM;1.5;12
disparité;NOM;0.07;9
disparu;VER;86.21;7
disparu;ADJ;3.7;7
disparu;NOM;3.99;7
disparue;VER;4.33;8
disparue;ADJ;2.38;8
disparue;NOM;2.4;8
disparues;VER;1.38;9
disparues;ADJ;1.55;9
disparues;NOM;0.41;9
disparurent;VER;0.45;11
disparus;VER;2.96;8
disparus;ADJ;2.18;8
disparus;NOM;3.27;8
disparut;VER;2.05;8
disparûmes;VER;0.01;10
disparût;VER;0.01;8
dispatchais;VER;0.01;11
dispatchait;VER;0;11
dispatche;VER;0.04;9
dispatcher;VER;0.01;10
dispatching;NOM;0.12;11
dispendieuse;ADJ;0;12
dispendieusement;ADV;0;16
dispendieux;ADJ;0.07;11
dispensa;VER;0;8
dispensable;ADJ;0.01;11
dispensaient;VER;0.02;12
dispensaire;NOM;1.71;11
dispensaires;NOM;0.04;12
dispensais;VER;0;10
dispensait;VER;0.38;10
dispensant;VER;0.01;10
dispensateur;ADJ;0;12
dispensateur;NOM;0.02;12
dispensateurs;ADJ;0;13
dispensateurs;NOM;0;13
dispensation;NOM;0;12
dispensatrice;NOM;0;13
dispensatrices;NOM;0;14
dispense;NOM;1.08;8
dispense;VER;1.14;8
dispensent;VER;0.25;10
dispenser;VER;0.33;9
dispenserait;VER;0.03;12
dispenseras;VER;0;11
dispenses;NOM;0.02;9
dispenses;VER;0.03;9
dispensez;VER;0.17;9
dispensât;VER;0;9
dispensèrent;VER;0.01;12
dispensé;VER;0.47;8
dispensé;ADJ;0.03;8
dispensée;VER;0.35;9
dispensées;VER;0.01;10
dispensées;ADJ;0;10
dispensés;VER;0.07;9
dispensés;ADJ;0.01;9
dispersa;VER;0.01;8
dispersaient;VER;0.01;12
dispersait;VER;0.02;10
dispersant;ADJ;0;10
dispersant;VER;0.04;10
disperse;VER;1.35;8
dispersement;NOM;0.01;12
dispersent;VER;0.35;10
disperser;VER;2.27;9
dispersera;VER;0.08;10
disperserai;VER;0.16;11
disperseraient;VER;0.01;14
disperserait;VER;0;12
disperserons;VER;0.01;12
disperseront;VER;0.02;12
disperses;VER;0.12;9
dispersez;VER;3.24;9
dispersif;ADJ;0.01;9
dispersion;NOM;0.93;10
dispersions;VER;0.1;11
dispersions;NOM;0;11
dispersons;VER;0.3;10
dispersât;VER;0;9
dispersèrent;VER;0;12
dispersé;VER;0.86;8
dispersé;ADJ;0.18;8
dispersée;VER;0.36;9
dispersée;ADJ;0.28;9
dispersées;VER;0.41;10
dispersées;ADJ;0.08;10
dispersés;VER;0.86;9
dispersés;ADJ;0.13;9
dispo;ADJ;0.44;5
disponibilité;NOM;1.01;13
disponibilités;NOM;0.21;14
disponible;ADJ;8.74;10
disponibles;ADJ;4.46;11
dispos;ADJ;0.75;6
disposa;VER;0;7
disposai;VER;0.01;8
disposaient;VER;0.05;11
disposais;VER;0.08;9
disposait;VER;0.14;9
disposant;NOM;0;9
disposant;VER;0.16;9
disposas;VER;0;8
dispose;ADJ;0.05;7
dispose;VER;3.48;7
disposent;VER;0.56;9
disposer;VER;7.4;8
disposera;VER;0.21;9
disposerai;VER;0.17;10
disposeraient;VER;0;13
disposerais;VER;0;11
disposerait;VER;0.01;11
disposeras;VER;0;10
disposerez;VER;0.17;10
disposerons;VER;0.13;11
disposeront;VER;0;11
disposes;VER;0.34;8
disposez;VER;2.15;8
disposiez;VER;0.02;9
disposions;VER;0.1;10
dispositif;NOM;4.65;10
dispositifs;NOM;0.73;11
disposition;NOM;11.62;11
dispositions;NOM;3.37;12
disposons;VER;0.81;9
disposâmes;VER;0;10
disposât;VER;0;8
disposèrent;VER;0;11
disposé;VER;2.96;7
disposé;ADJ;0.18;7
disposée;VER;0.94;8
disposée;ADJ;0.08;8
disposées;VER;0.26;9
disposées;ADJ;0.02;9
disposés;VER;0.91;8
disposés;ADJ;0.05;8
disproportion;NOM;0.27;13
disproportionnelle;ADJ;0.01;18
disproportionné;VER;0.22;15
disproportionné;ADJ;0.2;15
disproportionnée;VER;0.12;16
disproportionnée;ADJ;0.29;16
disproportionnées;VER;0.11;17
disproportionnées;ADJ;0.01;17
disproportionnés;ADJ;0.03;16
disproportions;NOM;0;14
disputa;VER;0;7
disputaient;VER;1.21;11
disputais;VER;0.15;9
disputait;VER;1.73;9
disputant;VER;0.37;9
dispute;NOM;11.48;7
dispute;VER;4.06;7
disputent;VER;3.16;9
disputer;VER;10.54;8
disputera;VER;0.48;9
disputerai;VER;0.22;10
disputeraient;VER;0.03;13
disputerait;VER;0.2;11
disputerez;VER;0.02;10
disputerons;VER;0.11;11
disputeront;VER;0.59;11
disputes;NOM;5.07;8
disputes;VER;0.29;8
disputeur;NOM;0;9
disputez;VER;2.37;8
disputiez;VER;0.74;9
disputions;VER;0.15;10
disputons;VER;1.27;9
disputâmes;VER;0.01;10
disputât;VER;0;8
disputèrent;VER;0.01;11
disputé;VER;2.96;7
disputé;ADJ;0.06;7
disputée;VER;1.22;8
disputée;ADJ;0.01;8
disputées;VER;0.83;9
disputées;ADJ;0.02;9
disputés;VER;6.59;8
disputés;ADJ;0.33;8
disquaire;NOM;0.42;9
disquaires;NOM;0.04;10
disqualifiait;VER;0;13
disqualifiant;VER;0.01;13
disqualification;NOM;0.14;16
disqualifications;NOM;0.01;17
disqualifie;VER;0.19;11
disqualifient;VER;0.15;13
disqualifier;VER;0.14;12
disqualifié;VER;0.59;11
disqualifié;ADJ;0.19;11
disqualifiée;VER;0.17;12
disqualifiée;ADJ;0.04;12
disqualifiées;VER;0.05;13
disqualifiées;ADJ;0.01;13
disqualifiés;VER;0.21;12
disqualifiés;ADJ;0.02;12
disque;NOM;20.36;6
disque-jockey;NOM;0.01;13
disques;NOM;13.26;7
disquette;NOM;1.81;9
disquettes;NOM;0.67;10
disruptif;ADJ;0.01;9
disruption;NOM;0.01;10
dissection;NOM;0.61;10
dissections;NOM;0.28;11
dissemblable;ADJ;0.02;12
dissemblables;ADJ;0.03;13
dissemblance;NOM;0;12
dissension;NOM;0.11;10
dissensions;NOM;0.36;11
dissent;VER;0.04;7
dissentiment;NOM;0.02;12
dissentiments;NOM;0;13
dissertait;VER;0.02;10
dissertant;VER;0;10
dissertation;NOM;1.4;12
dissertations;NOM;0.1;13
disserte;VER;0.11;8
dissertent;VER;0;10
disserter;VER;0.04;9
disserterait;VER;0.01;12
dissertes;VER;0.01;9
disserté;VER;0.02;8
dissidence;NOM;0.27;10
dissidences;NOM;0.01;11
dissident;ADJ;0.25;9
dissident;NOM;0.33;9
dissidente;ADJ;0.09;10
dissidentes;ADJ;0.02;11
dissidentes;NOM;0;11
dissidents;ADJ;0.25;10
dissidents;NOM;0.55;10
dissimilaires;ADJ;0.01;13
dissimiler;VER;0.01;10
dissimula;VER;0.14;9
dissimulables;ADJ;0;13
dissimulai;VER;0;10
dissimulaient;VER;0.04;13
dissimulais;VER;0.03;11
dissimulait;VER;0.3;11
dissimulant;VER;0.26;11
dissimulateur;ADJ;0.01;13
dissimulateurs;ADJ;0.02;14
dissimulation;NOM;1.35;13
dissimulations;NOM;0.11;14
dissimulatrice;ADJ;0;14
dissimulatrices;ADJ;0;15
dissimule;VER;1.22;9
dissimulent;VER;0.11;11
dissimuler;VER;3.72;10
dissimulera;VER;0.01;11
dissimuleraient;VER;0.01;15
dissimulerais;VER;0;13
dissimulerait;VER;0.04;13
dissimulerons;VER;0;13
dissimules;VER;0.02;10
dissimulez;VER;0.53;10
dissimuliez;VER;0;11
dissimulions;VER;0;12
dissimulons;VER;0.04;11
dissimulât;VER;0;10
dissimulèrent;VER;0;13
dissimulé;VER;1.24;9
dissimulé;ADJ;0.06;9
dissimulée;VER;0.31;10
dissimulée;ADJ;0.08;10
dissimulées;VER;0.2;11
dissimulées;ADJ;0.03;11
dissimulés;VER;0.45;10
dissimulés;ADJ;0.03;10
dissipa;VER;0.12;7
dissipaient;VER;0.01;11
dissipait;VER;0.01;9
dissipant;VER;0.03;9
dissipateur;NOM;0.01;11
dissipateurs;NOM;0;12
dissipation;NOM;0.04;11
dissipations;NOM;0;12
dissipe;VER;1.26;7
dissipent;VER;0.22;9
dissiper;VER;1.43;8
dissipera;VER;0.33;9
dissiperais;VER;0;11
dissiperait;VER;0.04;11
dissiperont;VER;0.08;11
dissipez;VER;0.05;8
dissipèrent;VER;0.01;11
dissipé;VER;0.75;7
dissipé;ADJ;0.22;7
dissipée;VER;0.34;8
dissipée;ADJ;0.03;8
dissipées;VER;0.02;9
dissipées;ADJ;0.03;9
dissipés;VER;0.07;8
dissipés;ADJ;0.02;8
dissocia;VER;0;8
dissociaient;VER;0;12
dissociait;VER;0;10
dissociant;VER;0;10
dissociatif;ADJ;0.17;11
dissociatifs;ADJ;0.01;12
dissociation;NOM;0.32;12
dissociations;NOM;0;13
dissociative;ADJ;0.1;12
dissocie;VER;0.02;8
dissocient;VER;0.01;10
dissocier;VER;0.33;9
dissocierons;VER;0;12
dissocié;VER;0.33;8
dissociée;VER;0.07;9
dissociées;VER;0.03;10
dissociés;VER;0.04;9
dissolu;ADJ;0.12;7
dissolue;ADJ;0.47;8
dissolues;ADJ;0.12;9
dissolus;ADJ;0.11;8
dissolution;NOM;0.8;11
dissolvaient;VER;0;12
dissolvait;VER;0.01;10
dissolvant;ADJ;0.01;10
dissolvant;NOM;0.38;10
dissolvant;VER;0.11;10
dissolvante;ADJ;0;11
dissolvantes;ADJ;0;12
dissolvants;ADJ;0;11
dissolvants;NOM;0.03;11
dissolve;VER;0.07;8
dissolvent;VER;0.04;10
dissolves;VER;0.01;9
dissonance;NOM;0.14;10
dissonances;NOM;0.28;11
dissonant;ADJ;0;9
dissonant;VER;0.01;9
dissonants;ADJ;0;10
dissoudra;VER;0.03;9
dissoudrai;VER;0;10
dissoudrait;VER;0.01;11
dissoudre;VER;1.38;9
dissoudront;VER;0.04;11
dissous;VER;1.19;7
dissous;ADJ;0.06;7
dissout;VER;1.03;7
dissoute;ADJ;0.4;8
dissoutes;ADJ;0.07;9
dissuada;VER;0;8
dissuadai;VER;0;9
dissuadait;VER;0.01;10
dissuadant;VER;0.01;10
dissuade;VER;0.15;8
dissuadent;VER;0.02;10
dissuader;VER;2.62;9
dissuadera;VER;0.1;10
dissuaderas;VER;0.01;11
dissuaderez;VER;0.03;11
dissuaderont;VER;0.02;12
dissuadez;VER;0.26;9
dissuadiez;VER;0.01;10
dissuadèrent;VER;0;12
dissuadé;VER;0.25;8
dissuadée;VER;0.13;9
dissuadés;VER;0.03;9
dissuasif;ADJ;0.19;9
dissuasion;NOM;0.29;10
dissuasive;ADJ;0.02;10
dissymétrie;NOM;0.14;11
dissymétrique;ADJ;0;13
dissymétriques;ADJ;0;14
dissèque;VER;0.29;8
dissèquent;VER;0.01;10
dissémina;VER;0;9
disséminait;VER;0;11
disséminant;VER;0.01;11
dissémination;NOM;0.07;13
disséminent;VER;0.01;11
disséminer;VER;0.18;10
disséminèrent;VER;0;13
disséminé;VER;0.01;9
disséminé;ADJ;0.02;9
disséminée;VER;0.01;10
disséminée;ADJ;0.01;10
disséminées;VER;0.06;11
disséminées;ADJ;0.01;11
disséminés;VER;0.17;10
disséminés;ADJ;0.04;10
disséquai;VER;0.01;9
disséquait;VER;0.01;10
disséquant;VER;0.03;10
disséquer;VER;0.64;9
disséqueraient;VER;0;14
disséquerais;VER;0.02;12
disséqueur;NOM;0.01;10
disséquez;VER;0.07;9
disséquiez;VER;0.03;10
disséquions;VER;0;11
disséquons;VER;0.03;10
disséqué;VER;0.32;8
disséquée;VER;0.07;9
disséqués;VER;0.04;9
distal;ADJ;0.15;6
distale;ADJ;0.01;7
distance;NOM;26.13;8
distance;VER;0.57;8
distancent;VER;0.01;10
distancer;VER;0.3;9
distancerez;VER;0.01;11
distances;NOM;5.43;9
distances;VER;0.11;9
distanciation;NOM;0.01;13
distancier;VER;0.15;10
distancié;VER;0.1;9
distancé;VER;0.08;8
distancée;VER;0.12;9
distancés;VER;0.03;9
distant;ADJ;2.47;7
distante;ADJ;0.66;8
distantes;ADJ;0.08;9
distants;ADJ;0.28;8
distança;VER;0;8
distançait;VER;0;10
distançant;VER;0.01;10
distançons;VER;0.01;10
distaux;ADJ;0.03;7
distend;VER;0.02;7
distendaient;VER;0;12
distendait;VER;0;10
distendant;VER;0;10
distende;VER;0;8
distendent;VER;0;10
distendit;VER;0;9
distendrait;VER;0;11
distendre;VER;0;9
distendu;VER;0.11;8
distendu;ADJ;0.1;8
distendue;VER;0;9
distendue;ADJ;0.01;9
distendues;VER;0.01;10
distendues;ADJ;0;10
distendus;VER;0.27;9
distendus;ADJ;0.01;9
distension;NOM;0.07;10
distillaient;VER;0;12
distillait;VER;0;10
distillant;VER;0.01;10
distillat;NOM;0.07;9
distillateur;NOM;0.02;12
distillateurs;NOM;0.03;13
distillation;NOM;0.04;12
distillations;NOM;0;13
distille;VER;0.14;8
distillent;VER;0.15;10
distiller;VER;0.23;9
distillera;VER;0;10
distillerie;NOM;0.84;11
distilleries;NOM;0.14;12
distilleront;VER;0;12
distillez;VER;0.03;9
distillé;VER;0.25;8
distillée;VER;0.27;9
distillées;VER;0;10
distillés;VER;0.05;9
distinct;ADJ;0.31;8
distincte;ADJ;0.26;9
distinctement;ADV;1.48;13
distinctes;ADJ;1.38;10
distinctif;ADJ;0.34;10
distinctifs;ADJ;0.28;11
distinction;NOM;2.38;11
distinctions;NOM;0.48;12
distinctive;ADJ;0.06;11
distinctives;ADJ;0.03;12
distincts;ADJ;0.61;9
distingua;VER;0.01;9
distinguai;VER;0;10
distinguaient;VER;0.02;13
distinguais;VER;0.4;11
distinguait;VER;0.52;11
distinguant;VER;0;11
distingue;VER;3.59;9
distinguent;VER;0.36;11
distinguer;VER;5.74;10
distinguera;VER;0.04;11
distingueraient;VER;0.01;15
distinguerait;VER;0;13
distinguerez;VER;0.01;12
distingues;VER;0.32;10
distinguez;VER;0.22;10
distinguions;VER;0.1;12
distinguo;NOM;0.04;9
